2025-09-10 18:39:33 | INFO | app.middlewares.auth:__call__:67 | Owner 1105228578 accessing system
2025-09-10 18:39:39 | INFO | app.middlewares.auth:__call__:67 | Owner 1105228578 accessing system
2025-09-10 18:39:42 | INFO | app.middlewares.auth:__call__:67 | Owner 1105228578 accessing system
2025-09-10 18:39:48 | INFO | app.middlewares.auth:__call__:67 | Owner 1105228578 accessing system
2025-09-10 18:39:49 | INFO | app.middlewares.auth:__call__:67 | Owner 1105228578 accessing system
2025-09-10 18:39:50 | INFO | app.middlewares.auth:__call__:67 | Owner 1105228578 accessing system
2025-09-10 18:39:51 | INFO | app.middlewares.auth:__call__:67 | Owner 1105228578 accessing system
2025-09-10 18:40:00 | INFO | app.middlewares.auth:__call__:67 | Owner 1105228578 accessing system
2025-09-10 18:40:02 | INFO | app.middlewares.auth:__call__:67 | Owner 1105228578 accessing system
2025-09-10 18:40:03 | INFO | app.middlewares.auth:__call__:67 | Owner 1105228578 accessing system
2025-09-10 18:40:09 | INFO | app.middlewares.auth:__call__:67 | Owner 1105228578 accessing system
2025-09-10 18:40:11 | INFO | app.middlewares.auth:__call__:67 | Owner 1105228578 accessing system
2025-09-10 18:40:13 | INFO | app.middlewares.auth:__call__:67 | Owner 1105228578 accessing system
2025-09-10 18:40:15 | INFO | app.middlewares.auth:__call__:67 | Owner 1105228578 accessing system
2025-09-10 18:40:28 | INFO | app.middlewares.auth:__call__:67 | Owner 1105228578 accessing system
2025-09-10 18:41:56 | INFO | __main__:main:82 | Bot stopped
2025-09-10 18:41:59 | INFO | __main__:main:36 | Starting Hair Analysis Bot...
2025-09-10 18:41:59 | INFO | __main__:main:60 | Bot configuration complete
2025-09-10 18:41:59 | INFO | __main__:main:65 | Database connection successful
2025-09-10 18:42:00 | INFO | __main__:main:70 | Bot started: @ai_mentor_BBB_bot
2025-09-10 18:42:04 | INFO | app.middlewares.auth:__call__:69 | Master 740984254 (Алишер) accessing system
2025-09-10 18:42:07 | INFO | app.middlewares.auth:__call__:69 | Master 740984254 (Алишер) accessing system
2025-09-10 18:42:10 | INFO | app.middlewares.auth:__call__:69 | Master 740984254 (Алишер) accessing system
2025-09-10 18:42:43 | INFO | app.middlewares.auth:__call__:67 | Owner 1105228578 accessing system
2025-09-10 18:42:46 | INFO | app.middlewares.auth:__call__:67 | Owner 1105228578 accessing system
2025-09-10 18:42:51 | INFO | app.middlewares.auth:__call__:67 | Owner 1105228578 accessing system
2025-09-10 18:42:54 | INFO | app.middlewares.auth:__call__:67 | Owner 1105228578 accessing system
2025-09-10 18:42:55 | INFO | app.middlewares.auth:__call__:67 | Owner 1105228578 accessing system
2025-09-10 18:42:56 | INFO | app.middlewares.auth:__call__:67 | Owner 1105228578 accessing system
2025-09-10 18:42:58 | INFO | app.middlewares.auth:__call__:67 | Owner 1105228578 accessing system
2025-09-10 18:43:02 | INFO | app.middlewares.auth:__call__:67 | Owner 1105228578 accessing system
2025-09-10 18:43:03 | INFO | app.middlewares.auth:__call__:67 | Owner 1105228578 accessing system
2025-09-10 18:43:09 | INFO | app.middlewares.auth:__call__:67 | Owner 1105228578 accessing system
2025-09-10 18:43:11 | INFO | app.middlewares.auth:__call__:67 | Owner 1105228578 accessing system
2025-09-10 18:43:23 | INFO | app.middlewares.auth:__call__:67 | Owner 1105228578 accessing system
2025-09-10 18:43:24 | INFO | app.middlewares.auth:__call__:67 | Owner 1105228578 accessing system
2025-09-10 18:43:26 | INFO | app.middlewares.auth:__call__:67 | Owner 1105228578 accessing system
2025-09-10 18:46:36 | INFO | __main__:main:82 | Bot stopped
2025-09-10 18:46:39 | INFO | __main__:main:36 | Starting Hair Analysis Bot...
2025-09-10 18:46:39 | INFO | __main__:main:60 | Bot configuration complete
2025-09-10 18:46:39 | INFO | __main__:main:65 | Database connection successful
2025-09-10 18:46:39 | INFO | __main__:main:70 | Bot started: @ai_mentor_BBB_bot
2025-09-10 18:46:48 | INFO | app.middlewares.auth:__call__:69 | Master 740984254 (Алишер) accessing system
2025-09-10 18:46:50 | INFO | app.middlewares.auth:__call__:69 | Master 740984254 (Алишер) accessing system
2025-09-10 18:46:52 | INFO | app.middlewares.auth:__call__:69 | Master 740984254 (Алишер) accessing system
2025-09-10 18:46:59 | INFO | app.middlewares.auth:__call__:69 | Master 740984254 (Алишер) accessing system
2025-09-10 18:47:00 | INFO | app.middlewares.auth:__call__:69 | Master 740984254 (Алишер) accessing system
2025-09-10 18:47:01 | ERROR | app.handlers.master:continue_to_second_hand:407 | Error in continue_to_second_hand: Telegram server says - Bad Request: there is no text in the message to edit
2025-09-10 18:47:03 | INFO | app.middlewares.auth:__call__:69 | Master 740984254 (Алишер) accessing system
2025-09-10 18:47:03 | ERROR | app.handlers.master:continue_to_second_hand:407 | Error in continue_to_second_hand: Telegram server says - Bad Request: there is no text in the message to edit
2025-09-10 18:47:05 | INFO | app.middlewares.auth:__call__:69 | Master 740984254 (Алишер) accessing system
2025-09-10 18:47:05 | ERROR | app.handlers.master:request_first_hand_photo:245 | Error in request_first_hand_photo: Telegram server says - Bad Request: there is no text in the message to edit
2025-09-10 18:47:11 | INFO | app.middlewares.auth:__call__:69 | Master 740984254 (Алишер) accessing system
2025-09-10 18:47:15 | INFO | app.middlewares.auth:__call__:69 | Master 740984254 (Алишер) accessing system
2025-09-10 18:48:00 | INFO | app.middlewares.auth:__call__:69 | Master 740984254 (Алишер) accessing system
2025-09-10 18:48:11 | INFO | app.middlewares.auth:__call__:69 | Master 740984254 (Алишер) accessing system
2025-09-10 18:48:13 | INFO | app.middlewares.auth:__call__:69 | Master 740984254 (Алишер) accessing system
2025-09-10 18:48:13 | ERROR | app.handlers.master:continue_to_second_hand:407 | Error in continue_to_second_hand: Telegram server says - Bad Request: there is no text in the message to edit
2025-09-10 18:49:26 | INFO | __main__:main:82 | Bot stopped
2025-09-10 18:49:28 | INFO | __main__:main:36 | Starting Hair Analysis Bot...
2025-09-10 18:49:28 | INFO | __main__:main:60 | Bot configuration complete
2025-09-10 18:49:28 | INFO | __main__:main:65 | Database connection successful
2025-09-10 18:49:29 | INFO | __main__:main:70 | Bot started: @ai_mentor_BBB_bot
2025-09-10 18:49:33 | INFO | app.middlewares.auth:__call__:69 | Master 740984254 (Алишер) accessing system
2025-09-10 18:49:39 | INFO | app.middlewares.auth:__call__:69 | Master 740984254 (Алишер) accessing system
2025-09-10 18:50:22 | INFO | app.middlewares.auth:__call__:69 | Master 740984254 (Алишер) accessing system
2025-09-10 18:50:23 | INFO | app.middlewares.auth:__call__:69 | Master 740984254 (Алишер) accessing system
2025-09-10 18:50:29 | INFO | app.middlewares.auth:__call__:69 | Master 740984254 (Алишер) accessing system
2025-09-10 18:50:31 | INFO | app.middlewares.auth:__call__:69 | Master 740984254 (Алишер) accessing system
2025-09-10 19:56:17 | INFO | app.middlewares.auth:__call__:69 | Master 1105228578 (Реалист) accessing system
2025-09-10 19:56:17 | INFO | app.handlers.common:cmd_start:53 | Master started bot: Реалист (@rea1is2in) [ID: 1105228578]
2025-09-10 19:56:17 | INFO | app.middlewares.auth:__call__:69 | Master 1105228578 (Реалист) accessing system
2025-09-10 19:56:17 | INFO | app.middlewares.auth:__call__:69 | Master 1105228578 (Реалист) accessing system
2025-09-10 19:56:17 | INFO | app.handlers.common:cmd_start:53 | Master started bot: Реалист (@rea1is2in) [ID: 1105228578]
2025-09-10 19:56:17 | INFO | app.middlewares.auth:__call__:69 | Master 1105228578 (Реалист) accessing system
2025-09-10 19:56:18 | INFO | app.middlewares.auth:__call__:69 | Master 1105228578 (Реалист) accessing system
2025-09-10 19:56:18 | INFO | app.middlewares.auth:__call__:69 | Master 1105228578 (Реалист) accessing system
2025-09-10 19:56:18 | INFO | app.middlewares.auth:__call__:69 | Master 1105228578 (Реалист) accessing system
2025-09-10 19:56:18 | INFO | app.handlers.common:cmd_start:53 | Master started bot: Реалист (@rea1is2in) [ID: 1105228578]
2025-09-10 19:56:20 | INFO | app.handlers.common:cmd_start:53 | Master started bot: Реалист (@rea1is2in) [ID: 1105228578]
2025-09-10 19:56:20 | INFO | app.handlers.common:cmd_start:53 | Master started bot: Реалист (@rea1is2in) [ID: 1105228578]
2025-09-10 20:54:51 | INFO | app.middlewares.auth:__call__:69 | Master 1105228578 (Реалист) accessing system
2025-09-10 21:10:33 | INFO | app.middlewares.auth:__call__:69 | Master 1105228578 (Реалист) accessing system
2025-09-10 21:55:49 | INFO | app.middlewares.auth:__call__:69 | Master 1105228578 (Реалист) accessing system
2025-09-10 21:55:49 | INFO | app.middlewares.auth:__call__:69 | Master 1105228578 (Реалист) accessing system
2025-09-10 21:55:49 | INFO | app.middlewares.auth:__call__:69 | Master 1105228578 (Реалист) accessing system
2025-09-10 22:12:15 | INFO | __main__:main:82 | Bot stopped
2025-09-10 22:12:29 | INFO | __main__:main:36 | Starting Hair Analysis Bot...
2025-09-10 22:12:29 | INFO | __main__:main:60 | Bot configuration complete
2025-09-10 22:12:29 | INFO | __main__:main:65 | Database connection successful
2025-09-10 22:12:29 | INFO | __main__:main:70 | Bot started: @ai_mentor_BBB_bot
2025-09-10 22:13:15 | INFO | app.middlewares.auth:__call__:69 | Master 1105228578 (Реалист) accessing system
2025-09-10 22:13:17 | INFO | app.middlewares.auth:__call__:69 | Master 1105228578 (Реалист) accessing system
2025-09-10 22:13:27 | INFO | app.middlewares.auth:__call__:69 | Master 1105228578 (Реалист) accessing system
2025-09-10 22:13:29 | INFO | app.middlewares.auth:__call__:69 | Master 1105228578 (Реалист) accessing system
2025-09-10 22:13:29 | ERROR | app.handlers.master:continue_to_second_hand:407 | Error in continue_to_second_hand: Telegram server says - Bad Request: there is no text in the message to edit
2025-09-10 22:13:37 | INFO | app.middlewares.auth:__call__:69 | Master 1105228578 (Реалист) accessing system
2025-09-10 22:13:37 | ERROR | app.handlers.master:continue_to_second_hand:407 | Error in continue_to_second_hand: Telegram server says - Bad Request: there is no text in the message to edit
2025-09-10 22:13:41 | INFO | app.middlewares.auth:__call__:69 | Master 1105228578 (Реалист) accessing system
2025-09-10 22:13:41 | ERROR | app.handlers.master:continue_to_second_hand:407 | Error in continue_to_second_hand: Telegram server says - Bad Request: there is no text in the message to edit
2025-09-10 22:21:14 | INFO | app.middlewares.auth:__call__:69 | Master 1105228578 (Реалист) accessing system
2025-09-10 22:21:14 | ERROR | app.handlers.master:continue_to_second_hand:407 | Error in continue_to_second_hand: Telegram server says - Bad Request: there is no text in the message to edit
2025-09-10 22:21:24 | INFO | app.middlewares.auth:__call__:69 | Master 1105228578 (Реалист) accessing system
2025-09-10 22:21:44 | INFO | app.middlewares.auth:__call__:69 | Master 1105228578 (Реалист) accessing system
2025-09-10 22:21:47 | INFO | app.middlewares.auth:__call__:69 | Master 1105228578 (Реалист) accessing system
2025-09-10 22:21:49 | INFO | app.middlewares.auth:__call__:69 | Master 1105228578 (Реалист) accessing system
