2025-09-11 20:47:42 | ERROR | app.handlers.master:process_first_hand_photo:267 | Error in process_first_hand_photo: name 'get_first_hand_simple_keyboard' is not defined
2025-09-11 20:48:57 | INFO | __main__:main:82 | Bot stopped
2025-09-11 21:00:09 | INFO | __main__:main:36 | Starting Hair Analysis Bot...
2025-09-11 21:00:09 | INFO | __main__:main:60 | Bot configuration complete
2025-09-11 21:00:09 | INFO | __main__:main:65 | Database connection successful
2025-09-11 21:00:09 | INFO | __main__:main:70 | Bot started: @ai_mentor_BBB_bot
2025-09-11 21:00:25 | INFO | app.middlewares.auth:__call__:69 | Master 740984254 (Алишер) accessing system
2025-09-11 21:00:31 | INFO | app.middlewares.auth:__call__:69 | Master 740984254 (Алишер) accessing system
2025-09-11 21:00:39 | INFO | app.middlewares.auth:__call__:69 | Master 740984254 (Алишер) accessing system
2025-09-11 21:00:39 | INFO | app.handlers.master:process_first_hand_photo:281 | Processing photo for analysis 33
2025-09-11 21:00:39 | INFO | app.handlers.master:process_first_hand_photo:282 | Photos before: []
2025-09-11 21:00:39 | INFO | app.handlers.master:process_first_hand_photo:298 | Photos after commit: ['AgACAgIAAxkBAAIBP2jC7TSg1fdVWEE5YQeuVesyzoOaAAJf_jEb2JAYSjDvhecoYOzjAQADAgADeQADNgQ']
2025-09-11 21:00:39 | INFO | app.handlers.master:process_first_hand_photo:299 | Final count: 1
2025-09-11 21:00:42 | INFO | app.middlewares.auth:__call__:69 | Master 740984254 (Алишер) accessing system
2025-09-11 21:00:49 | INFO | app.middlewares.auth:__call__:69 | Master 740984254 (Алишер) accessing system
2025-09-11 21:00:49 | INFO | app.handlers.master:process_first_hand_photo:281 | Processing photo for analysis 33
2025-09-11 21:00:49 | INFO | app.handlers.master:process_first_hand_photo:282 | Photos before: ['AgACAgIAAxkBAAIBP2jC7TSg1fdVWEE5YQeuVesyzoOaAAJf_jEb2JAYSjDvhecoYOzjAQADAgADeQADNgQ']
2025-09-11 21:00:49 | INFO | app.handlers.master:process_first_hand_photo:298 | Photos after commit: ['AgACAgIAAxkBAAIBP2jC7TSg1fdVWEE5YQeuVesyzoOaAAJf_jEb2JAYSjDvhecoYOzjAQADAgADeQADNgQ', 'AgACAgIAAxkBAAIBMWjC7O64XY3XXVxaeBoIQUWsPbvAAAJd_jEb2JAYShK7H8ntgApjAQADAgADdwADNgQ']
2025-09-11 21:00:49 | INFO | app.handlers.master:process_first_hand_photo:299 | Final count: 2
2025-09-11 21:00:51 | INFO | app.middlewares.auth:__call__:69 | Master 740984254 (Алишер) accessing system
2025-09-11 21:00:54 | INFO | app.middlewares.auth:__call__:69 | Master 740984254 (Алишер) accessing system
2025-09-11 21:01:06 | INFO | app.middlewares.auth:__call__:69 | Master 740984254 (Алишер) accessing system
2025-09-11 21:01:12 | INFO | app.middlewares.auth:__call__:69 | Master 740984254 (Алишер) accessing system
2025-09-11 21:01:18 | INFO | app.middlewares.auth:__call__:69 | Master 740984254 (Алишер) accessing system
2025-09-11 21:01:27 | INFO | app.middlewares.auth:__call__:69 | Master 740984254 (Алишер) accessing system
2025-09-11 21:01:33 | INFO | app.middlewares.auth:__call__:69 | Master 740984254 (Алишер) accessing system
2025-09-11 21:01:40 | INFO | app.middlewares.auth:__call__:69 | Master 740984254 (Алишер) accessing system
2025-09-11 21:01:42 | INFO | app.middlewares.auth:__call__:69 | Master 740984254 (Алишер) accessing system
2025-09-11 21:01:47 | INFO | app.middlewares.auth:__call__:69 | Master 740984254 (Алишер) accessing system
2025-09-11 21:01:49 | INFO | app.middlewares.auth:__call__:69 | Master 740984254 (Алишер) accessing system
2025-09-11 21:01:51 | INFO | app.middlewares.auth:__call__:69 | Master 740984254 (Алишер) accessing system
2025-09-11 21:01:53 | INFO | app.middlewares.auth:__call__:69 | Master 740984254 (Алишер) accessing system
2025-09-11 21:01:56 | INFO | app.middlewares.auth:__call__:69 | Master 740984254 (Алишер) accessing system
2025-09-11 21:02:00 | INFO | app.middlewares.auth:__call__:69 | Master 740984254 (Алишер) accessing system
2025-09-11 21:02:01 | INFO | app.handlers.master:accept_results:947 | Analysis 33 completed successfully by master Алишер
2025-09-11 21:31:22 | INFO | app.middlewares.auth:__call__:69 | Master 1105228578 (Реалист) accessing system
2025-09-11 21:31:28 | ERROR | app.handlers.master:start_analysis:231 | Error in start_analysis: HTTP Client says - ClientConnectorError: Cannot connect to host api.telegram.org:443 ssl:default [nodename nor servname provided, or not known]
2025-09-11 21:31:28 | ERROR | app.middlewares.auth:__call__:76 | Auth middleware error: HTTP Client says - ClientConnectorError: Cannot connect to host api.telegram.org:443 ssl:default [nodename nor servname provided, or not known]
2025-09-11 21:31:28 | ERROR | app.middlewares.auth:__call__:164 | Database error in middleware: HTTP Client says - ClientConnectorError: Cannot connect to host api.telegram.org:443 ssl:default [nodename nor servname provided, or not known]
2025-09-11 21:31:28 | ERROR | app.middlewares.auth:__call__:202 | Handler error for user 1105228578: HTTP Client says - ClientConnectorError: Cannot connect to host api.telegram.org:443 ssl:default [nodename nor servname provided, or not known]
2025-09-11 21:31:28 | INFO | app.middlewares.auth:__call__:69 | Master 1105228578 (Реалист) accessing system
2025-09-11 21:31:28 | ERROR | app.handlers.master:start_analysis:231 | Error in start_analysis: HTTP Client says - ClientConnectorError: Cannot connect to host api.telegram.org:443 ssl:default [nodename nor servname provided, or not known]
2025-09-11 21:31:28 | ERROR | app.middlewares.auth:__call__:76 | Auth middleware error: HTTP Client says - ClientConnectorError: Cannot connect to host api.telegram.org:443 ssl:default [nodename nor servname provided, or not known]
2025-09-11 21:31:28 | ERROR | app.middlewares.auth:__call__:164 | Database error in middleware: HTTP Client says - ClientConnectorError: Cannot connect to host api.telegram.org:443 ssl:default [nodename nor servname provided, or not known]
2025-09-11 21:31:28 | ERROR | app.middlewares.auth:__call__:202 | Handler error for user 1105228578: HTTP Client says - ClientConnectorError: Cannot connect to host api.telegram.org:443 ssl:default [nodename nor servname provided, or not known]
2025-09-11 21:31:29 | INFO | app.middlewares.auth:__call__:69 | Master 1105228578 (Реалист) accessing system
2025-09-11 21:31:29 | ERROR | app.handlers.master:start_analysis:231 | Error in start_analysis: HTTP Client says - ClientConnectorError: Cannot connect to host api.telegram.org:443 ssl:default [nodename nor servname provided, or not known]
2025-09-11 21:31:29 | ERROR | app.middlewares.auth:__call__:76 | Auth middleware error: HTTP Client says - ClientConnectorError: Cannot connect to host api.telegram.org:443 ssl:default [nodename nor servname provided, or not known]
2025-09-11 21:31:29 | ERROR | app.middlewares.auth:__call__:164 | Database error in middleware: HTTP Client says - ClientConnectorError: Cannot connect to host api.telegram.org:443 ssl:default [nodename nor servname provided, or not known]
2025-09-11 21:31:29 | ERROR | app.middlewares.auth:__call__:202 | Handler error for user 1105228578: HTTP Client says - ClientConnectorError: Cannot connect to host api.telegram.org:443 ssl:default [nodename nor servname provided, or not known]
